epoch,step,test/accuracy,test/f1_score,test/loss,train/accuracy,train/f1_score,train/loss_epoch,train/loss_step,val/accuracy,val/f1_score,val/loss,val_f1_score
0,9,,,,,,,2.1569159030914307,,,,
0,19,,,,,,,1.327190637588501,,,,
0,29,,,,,,,0.8054817914962769,,,,
0,39,,,,,,,0.4494856894016266,,,,
0,41,,,,,,,,0.9157282114028931,0.8635357618331909,0.4099695384502411,0.8635357618331909
0,41,,,,0.6281437873840332,0.5186194777488708,1.5002720355987549,,,,,
1,49,,,,,,,0.21098841726779938,,,,
1,59,,,,,,,0.1601312905550003,,,,
1,69,,,,,,,0.09462279081344604,,,,
1,79,,,,,,,0.07559887319803238,,,,
1,83,,,,,,,,0.9896771907806396,0.9900598526000977,0.0705656036734581,0.9900598526000977
1,83,,,,0.9739583134651184,0.9672724008560181,0.1482980102300644,,,,,
2,89,,,,,,,0.03549182787537575,,,,
2,99,,,,,,,0.026832839474081993,,,,
2,109,,,,,,,0.02132614701986313,,,,
2,119,,,,,,,0.014476806856691837,,,,
2,125,,,,,,,,0.994369387626648,0.9947775602340698,0.033582184463739395,0.9947775602340698
2,125,,,,0.9982638955116272,0.9981143474578857,0.025968829169869423,,,,,
3,129,,,,,,,0.011669959872961044,,,,
3,139,,,,,,,0.011417767032980919,,,,
3,149,,,,,,,0.008917738683521748,,,,
3,159,,,,,,,0.007419648580253124,,,,
3,167,,,,,,,,0.9954954981803894,0.9951252937316895,0.023478975519537926,0.9951252937316895
3,167,,,,1.0,1.0,0.009951532818377018,,,,,
4,169,,,,,,,0.00823606550693512,,,,
4,179,,,,,,,0.007655108347535133,,,,
4,189,,,,,,,0.00544011639431119,,,,
4,199,,,,,,,0.005771186202764511,,,,
4,209,,,,,,,0.006537745241075754,,,,
4,209,,,,,,,,0.9964339137077332,0.9960356950759888,0.019590677693486214,0.9960356950759888
4,209,,,,1.0,1.0,0.006046363152563572,,,,,
5,219,,,,,,,0.00411572027951479,,,,
5,229,,,,,,,0.004161661956459284,,,,
5,239,,,,,,,0.004382551647722721,,,,
5,249,,,,,,,0.003986509516835213,,,,
5,251,,,,,,,,0.9962462186813354,0.9961580038070679,0.017263762652873993,0.9961580038070679
5,251,,,,1.0,1.0,0.004117321688681841,,,,,
6,259,,,,,,,0.0033823747653514147,,,,
6,269,,,,,,,0.0030008500907570124,,,,
6,279,,,,,,,0.003131205914542079,,,,
6,289,,,,,,,0.0029539417009800673,,,,
6,293,,,,,,,,0.9969969987869263,0.9965226650238037,0.01526646874845028,0.9965226650238037
6,293,,,,1.0,1.0,0.0030570009257644415,,,,,
7,299,,,,,,,0.0026406876277178526,,,,
7,309,,,,,,,0.0025053126737475395,,,,
7,319,,,,,,,0.0026485465932637453,,,,
7,329,,,,,,,0.0021694626193493605,,,,
7,335,,,,,,,,0.9973723888397217,0.9972236156463623,0.014100794680416584,0.9972236156463623
7,335,,,,1.0,1.0,0.002436537528410554,,,,,
8,339,,,,,,,0.0021025699097663164,,,,
8,349,,,,,,,0.0019364061299711466,,,,
8,359,,,,,,,0.001562912599183619,,,,
8,369,,,,,,,0.0018682189984247088,,,,
8,377,,,,,,,,0.997184693813324,0.9969629049301147,0.013472655788064003,0.9969629049301147
8,377,,,,1.0,1.0,0.0019081716891378164,,,,,
9,379,,,,,,,0.0018182708881795406,,,,
9,389,,,,,,,0.0017635775730013847,,,,
9,399,,,,,,,0.0015291603049263358,,,,
9,409,,,,,,,0.0015265472466126084,,,,
9,419,,,,,,,0.0019638636149466038,,,,
9,419,,,,,,,,0.9969969987869263,0.996868371963501,0.012794275768101215,0.996868371963501
9,419,,,,1.0,1.0,0.001645099138841033,,,,,
10,429,,,,,,,0.0013779429718852043,,,,
10,439,,,,,,,0.0013079876080155373,,,,
10,449,,,,,,,0.0015622597420588136,,,,
10,459,,,,,,,0.0012974357232451439,,,,
10,461,,,,,,,,0.997184693813324,0.9971978664398193,0.01246190257370472,0.9971978664398193
10,461,,,,1.0,1.0,0.0013871608534827828,,,,,
11,469,,,,,,,0.001474142074584961,,,,
11,479,,,,,,,0.0010051405988633633,,,,
11,489,,,,,,,0.0013122613308951259,,,,
11,499,,,,,,,0.0009828278562054038,,,,
11,503,,,,,,,,0.9973723888397217,0.9972457885742188,0.011658716946840286,0.9972457885742188
11,503,,,,1.0,1.0,0.0011848032008856535,,,,,
12,509,,,,,,,0.0010590540478006005,,,,
12,519,,,,,,,0.0010047951946035028,,,,
12,529,,,,,,,0.0009985415963456035,,,,
12,539,,,,,,,0.0010872849961742759,,,,
12,545,,,,,,,,0.9973723888397217,0.9972457885742188,0.01169202383607626,0.9972457885742188
12,545,,,,1.0,1.0,0.0010403631022199988,,,,,
13,549,,,,,,,0.0010203558485955,,,,
13,559,,,,,,,0.0009012223454192281,,,,
13,569,,,,,,,0.0010083855595439672,,,,
13,579,,,,,,,0.0008463402627967298,,,,
13,587,,,,,,,,0.9973723888397217,0.9972457885742188,0.011148952879011631,0.9972457885742188
13,587,,,,1.0,1.0,0.0009264889522455633,,,,,
14,589,,,,,,,0.0009639078634791076,,,,
14,599,,,,,,,0.0007678971742279828,,,,
14,609,,,,,,,0.0009925018530339003,,,,
14,619,,,,,,,0.0009362394921481609,,,,
14,629,,,,,,,0.0010403788182884455,,,,
14,629,,,,,,,,0.9975600838661194,0.9974790811538696,0.010801978409290314,0.9974790811538696
14,629,,,,1.0,1.0,0.0008262493647634983,,,,,
15,639,,,,,,,0.0006593571160919964,,,,
15,649,,,,,,,0.0006690723239444196,,,,
15,659,,,,,,,0.0006874948740005493,,,,
15,669,,,,,,,0.0006538918241858482,,,,
15,671,,,,,,,,0.9975600838661194,0.9974790811538696,0.010487476363778114,0.9974790811538696
15,671,,,,1.0,1.0,0.0007588483858853579,,,,,
16,679,,,,,,,0.0006867285701446235,,,,
16,689,,,,,,,0.0006319992244243622,,,,
16,699,,,,,,,0.0007401532493531704,,,,
16,709,,,,,,,0.0006627113907597959,,,,
16,713,,,,,,,,0.9977477192878723,0.9977836608886719,0.010470514185726643,0.9977836608886719
16,713,,,,1.0,1.0,0.0006727207801304758,,,,,
17,719,,,,,,,0.0007058592746034265,,,,
17,729,,,,,,,0.000601758889388293,,,,
17,739,,,,,,,0.0006089700036682189,,,,
17,749,,,,,,,0.0005692453123629093,,,,
17,755,,,,,,,,0.9977477192878723,0.9977836608886719,0.010165383107960224,0.9977836608886719
17,755,,,,1.0,1.0,0.000597779406234622,,,,,
18,759,,,,,,,0.0006234218017198145,,,,
18,769,,,,,,,0.0005159752327017486,,,,
18,779,,,,,,,0.0005184641340747476,,,,
18,789,,,,,,,0.0005409052828326821,,,,
18,797,,,,,,,,0.9977477192878723,0.9977836608886719,0.009981500916182995,0.9977836608886719
18,797,,,,1.0,1.0,0.0005552428774535656,,,,,
19,799,,,,,,,0.0005183365428820252,,,,
19,809,,,,,,,0.0005006453138776124,,,,
19,819,,,,,,,0.0004902531509287655,,,,
19,829,,,,,,,0.000496024964377284,,,,
19,839,,,,,,,0.00047794185229577124,,,,
19,839,,,,,,,,0.9973723888397217,0.9976285696029663,0.010014785453677177,0.9976285696029663
19,839,,,,1.0,1.0,0.0005154027021490037,,,,,
20,849,,,,,,,0.00047438041656278074,,,,
20,859,,,,,,,0.0004266775504220277,,,,
20,869,,,,,,,0.00043853980605490506,,,,
20,879,,,,,,,0.00043792519136331975,,,,
20,881,,,,,,,,0.9973723888397217,0.9976285696029663,0.009882882237434387,0.9976285696029663
20,881,,,,1.0,1.0,0.0004768194048665464,,,,,
21,889,,,,,,,0.00043008028296753764,,,,
21,899,,,,,,,0.0004231181228533387,,,,
21,909,,,,,,,0.0003737568040378392,,,,
21,919,,,,,,,0.00042140213190577924,,,,
21,923,,,,,,,,0.9977477192878723,0.9977836608886719,0.009673841297626495,0.9977836608886719
21,923,,,,1.0,1.0,0.00043865054612979293,,,,,
22,929,,,,,,,0.00035349305835552514,,,,
22,939,,,,,,,0.000549431424587965,,,,
22,949,,,,,,,0.0003455309197306633,,,,
22,959,,,,,,,0.0005467343144118786,,,,
22,965,,,,,,,,0.9977477192878723,0.9977836608886719,0.009591042064130306,0.9977836608886719
22,965,,,,1.0,1.0,0.00041559679084457457,,,,,
23,969,,,,,,,0.0004027359827887267,,,,
23,979,,,,,,,0.0003386050520930439,,,,
23,989,,,,,,,0.0004003093345090747,,,,
23,999,,,,,,,0.0003545258950907737,,,,
23,1007,,,,,,,,0.9975600838661194,0.9976792335510254,0.009558180347084999,0.9976792335510254
23,1007,,,,1.0,1.0,0.000377598509658128,,,,,
24,1009,,,,,,,0.0003402637375984341,,,,
24,1019,,,,,,,0.0003811246424447745,,,,
24,1029,,,,,,,0.00036216722219251096,,,,
24,1039,,,,,,,0.0003287067811470479,,,,
24,1049,,,,,,,0.00038052117452025414,,,,
24,1049,,,,,,,,0.9973723888397217,0.9974015951156616,0.009458115324378014,0.9974015951156616
24,1049,,,,1.0,1.0,0.00034912937553599477,,,,,
25,1059,,,,,,,0.0003723498957697302,,,,
25,1069,,,,,,,0.0002915883087553084,,,,
25,1079,,,,,,,0.00031987065449357033,,,,
25,1089,,,,,,,0.00031026481883600354,,,,
25,1091,,,,,,,,0.9973723888397217,0.9974038600921631,0.009617944248020649,0.9974038600921631
25,1091,,,,1.0,1.0,0.00033332264865748584,,,,,
26,1099,,,,,,,0.0003483719192445278,,,,
26,1109,,,,,,,0.0003300642711110413,,,,
26,1119,,,,,,,0.00033735675970092416,,,,
26,1129,,,,,,,0.000277929735602811,,,,
26,1133,,,,,,,,0.9975600838661194,0.9977060556411743,0.009274137206375599,0.9977060556411743
26,1133,,,,1.0,1.0,0.0003153375582769513,,,,,
27,1139,,,,,,,0.00030822702683508396,,,,
27,1149,,,,,,,0.00033379526576027274,,,,
27,1159,,,,,,,0.00030191181576810777,,,,
27,1169,,,,,,,0.000311701005557552,,,,
27,1175,,,,,,,,0.9975600838661194,0.9977138042449951,0.009661617688834667,0.9977138042449951
27,1175,,,,1.0,1.0,0.0002920412225648761,,,,,
28,1179,,,,,,,0.0002693542919587344,,,,
28,1189,,,,,,,0.00033239455660805106,,,,
28,1199,,,,,,,0.00021938802092336118,,,,
28,1209,,,,,,,0.00024829100584611297,,,,
28,1217,,,,,,,,0.9977477192878723,0.9977911710739136,0.00918550230562687,0.9977911710739136
28,1217,,,,1.0,1.0,0.0002779493806883693,,,,,
29,1219,,,,,,,0.00034027412766590714,,,,
29,1229,,,,,,,0.0002601323649287224,,,,
29,1239,,,,,,,0.000251572928391397,,,,
29,1249,,,,,,,0.00024771399330347776,,,,
29,1259,,,,,,,0.00027091772062703967,,,,
29,1259,,,,,,,,0.9975600838661194,0.9976868629455566,0.009261327795684338,0.9976868629455566
29,1259,,,,1.0,1.0,0.00025774314417503774,,,,,
30,1260,,,,,,,,0.9977477192878723,0.9977911710739136,0.00918550230562687,0.9977911710739136
30,1260,0.9346793293952942,0.8905639052391052,0.22684378921985626,,,,,,,,
