epoch,step,test/accuracy,test/f1_score,test/loss,train/accuracy,train/f1_score,train/loss_epoch,train/loss_step,val/accuracy,val/f1_score,val/loss,val_f1_score
0,9,,,,,,,3.8803184032440186,,,,
0,19,,,,,,,3.6233818531036377,,,,
0,29,,,,,,,3.1710784435272217,,,,
0,39,,,,,,,2.8316736221313477,,,,
0,41,,,,,,,,0.4115990996360779,0.38554149866104126,2.7090485095977783,0.38554149866104126
0,41,,,,0.18257319927215576,0.18426145613193512,3.5184812545776367,,,,,
1,49,,,,,,,2.530809164047241,,,,
1,59,,,,,,,2.33227801322937,,,,
1,69,,,,,,,2.1180450916290283,,,,
1,79,,,,,,,1.8629679679870605,,,,
1,83,,,,,,,,0.7498123049736023,0.7660813927650452,1.7309577465057373,0.7660813927650452
1,83,,,,0.5637199878692627,0.5490127801895142,2.1858134269714355,,,,,
2,89,,,,,,,1.6418038606643677,,,,
2,99,,,,,,,1.429653286933899,,,,
2,109,,,,,,,1.4971855878829956,,,,
2,119,,,,,,,1.3968265056610107,,,,
2,125,,,,,,,,0.9142267107963562,0.9384986162185669,1.304985761642456,0.9384986162185669
2,125,,,,0.8292511105537415,0.8489274978637695,1.4968020915985107,,,,,
3,129,,,,,,,1.360892415046692,,,,
3,139,,,,,,,1.2342681884765625,,,,
3,149,,,,,,,1.1861852407455444,,,,
3,159,,,,,,,1.246641755104065,,,,
3,167,,,,,,,,0.9662162065505981,0.9805287718772888,1.1659694910049438,0.9805287718772888
3,167,,,,0.9367492198944092,0.9547922611236572,1.2390732765197754,,,,,
4,169,,,,,,,1.122961163520813,,,,
4,179,,,,,,,1.11749267578125,,,,
4,189,,,,,,,1.116308331489563,,,,
4,199,,,,,,,1.0882041454315186,,,,
4,209,,,,,,,1.1708627939224243,,,,
4,209,,,,,,,,0.9883633852005005,0.992691695690155,1.1172415018081665,0.992691695690155
4,209,,,,0.9766328930854797,0.9846107363700867,1.1496055126190186,,,,,
5,219,,,,,,,1.0887492895126343,,,,
5,229,,,,,,,1.0779321193695068,,,,
5,239,,,,,,,1.0455265045166016,,,,
5,249,,,,,,,1.109840750694275,,,,
5,251,,,,,,,,0.995120108127594,0.9965025186538696,1.0958260297775269,0.9965025186538696
5,251,,,,0.9916478991508484,0.9939919710159302,1.110584020614624,,,,,
6,259,,,,,,,1.0872544050216675,,,,
6,269,,,,,,,1.0707796812057495,,,,
6,279,,,,,,,1.1186009645462036,,,,
6,289,,,,,,,1.0302854776382446,,,,
6,293,,,,,,,,0.9968093037605286,0.9980295300483704,1.0821772813796997,0.9980295300483704
6,293,,,,0.9960585832595825,0.9973982572555542,1.0908277034759521,,,,,
7,299,,,,,,,1.0775718688964844,,,,
7,309,,,,,,,1.136932611465454,,,,
7,319,,,,,,,1.1068865060806274,,,,
7,329,,,,,,,1.0855121612548828,,,,
7,335,,,,,,,,0.9964339137077332,0.997944712638855,1.0764080286026,0.997944712638855
7,335,,,,0.9973254799842834,0.9983229637145996,1.0797568559646606,,,,,
8,339,,,,,,,1.0986642837524414,,,,
8,349,,,,,,,1.0741925239562988,,,,
8,359,,,,,,,1.0676217079162598,,,,
8,369,,,,,,,1.0412455797195435,,,,
8,377,,,,,,,,0.9968093037605286,0.9973666667938232,1.0720059871673584,0.9973666667938232
8,377,,,,0.9978415966033936,0.9985191822052002,1.073432445526123,,,,,
9,379,,,,,,,1.0645407438278198,,,,
9,389,,,,,,,1.0357170104980469,,,,
9,399,,,,,,,1.0948039293289185,,,,
9,409,,,,,,,1.086321234703064,,,,
9,419,,,,,,,1.085423231124878,,,,
9,419,,,,,,,,0.9831081032752991,0.9857062697410583,1.1143510341644287,0.9857062697410583
9,419,,,,0.9974662065505981,0.997300386428833,1.0725408792495728,,,,,
10,429,,,,,,,1.1206679344177246,,,,
10,439,,,,,,,1.1333214044570923,,,,
10,449,,,,,,,1.0932310819625854,,,,
10,459,,,,,,,1.1477420330047607,,,,
10,461,,,,,,,,0.9947447180747986,0.9926631450653076,1.0941988229751587,0.9926631450653076
10,461,,,,0.9915071129798889,0.9875319600105286,1.112284541130066,,,,,
11,469,,,,,,,1.0193853378295898,,,,
11,479,,,,,,,1.0389163494110107,,,,
11,489,,,,,,,1.018263339996338,,,,
11,499,,,,,,,1.1283414363861084,,,,
11,503,,,,,,,,0.9969969987869263,0.998035192489624,1.0692218542099,0.998035192489624
11,503,,,,0.9956362843513489,0.9954755306243896,1.0800660848617554,,,,,
12,509,,,,,,,1.0315287113189697,,,,
12,519,,,,,,,1.1074507236480713,,,,
12,529,,,,,,,1.1441644430160522,,,,
12,539,,,,,,,1.031612515449524,,,,
12,545,,,,,,,,0.9960585832595825,0.9965838193893433,1.0684317350387573,0.9965838193893433
12,545,,,,0.9981231093406677,0.9986507892608643,1.0644351243972778,,,,,
13,549,,,,,,,1.0232551097869873,,,,
13,559,,,,,,,1.0676531791687012,,,,
13,569,,,,,,,1.1129372119903564,,,,
13,579,,,,,,,1.1092336177825928,,,,
13,587,,,,,,,,0.99793541431427,0.9969974756240845,1.0649940967559814,0.9969974756240845
13,587,,,,0.9987331032752991,0.999350368976593,1.0609995126724243,,,,,
14,589,,,,,,,1.0748728513717651,,,,
14,599,,,,,,,1.0744740962982178,,,,
14,609,,,,,,,1.0459076166152954,,,,
14,619,,,,,,,1.0353059768676758,,,,
14,629,,,,,,,1.0354772806167603,,,,
14,629,,,,,,,,0.9990615844726562,0.999292254447937,1.0599578619003296,0.999292254447937
14,629,,,,0.9988738894462585,0.9990622997283936,1.0603530406951904,,,,,
15,639,,,,,,,1.0749354362487793,,,,
15,649,,,,,,,1.0413795709609985,,,,
15,659,,,,,,,1.0572553873062134,,,,
15,669,,,,,,,1.0642765760421753,,,,
15,671,,,,,,,,0.9983108043670654,0.9989668130874634,1.060983657836914,0.9989668130874634
15,671,,,,0.9990615844726562,0.9992887377738953,1.0598547458648682,,,,,
16,679,,,,,,,1.0397918224334717,,,,
16,689,,,,,,,1.0700169801712036,,,,
16,699,,,,,,,1.0451936721801758,,,,
16,709,,,,,,,1.0540180206298828,,,,
16,713,,,,,,,,0.9962462186813354,0.9972158670425415,1.0666697025299072,0.9972158670425415
16,713,,,,0.9973723888397217,0.9973304271697998,1.0638068914413452,,,,,
17,719,,,,,,,1.0337018966674805,,,,
17,729,,,,,,,1.075016975402832,,,,
17,739,,,,,,,1.0448650121688843,,,,
17,749,,,,,,,1.0440865755081177,,,,
17,755,,,,,,,,0.9990615844726562,0.9987359046936035,1.059658408164978,0.9987359046936035
17,755,,,,0.9984515905380249,0.9984363317489624,1.0602900981903076,,,,,
18,759,,,,,,,1.0508989095687866,,,,
18,769,,,,,,,1.0838062763214111,,,,
18,779,,,,,,,1.0767669677734375,,,,
18,789,,,,,,,1.0576717853546143,,,,
